id,title,description,start,end
296,Chaos War,"When the Chaos King embarks on a campaign to wipe out all of existence, Hercules gathers the God Squad to stand in his way! Writers Greg Pak and Fred Van Lente join artist Khoi Pham to pit Herc and his rag tag teamâ€”including Thor, the Silver Surfer and Amadeus Choâ€”against an all-powerful evil as dead heroes and villains rise around them!",2010-10-01 00:00:00,2011-03-06 00:00:00
238,Civil War,"After a horrific tragedy raises questions on whether or not super heroes should register with the government, longtime Avengers teammates Captain America and Iron Man end up on opposite sides of the argument! Writer Mark Millar and artist Steve McNiven split the Marvel Universe in two as friend fights friend in one of the most celebrated and successful events of all-time!",2006-07-01 00:00:00,2007-01-29 00:00:00
330,Civil War II,"The drums of war beat for the Marvel Universe this June, as Civil War II #1 arrives with a double-size issue! Blockbuster creators Brian Michael Bendis, David Marquez, and Justin Ponsor bring readers a Marvel Universe divided—with Iron Man and Captain Marvel leading opposing sides! A new power has emerged, one that can predict the future. Will the heroes fight to protect the future or change the future? Choose your side!",null,null
239,Crossing,"Iron Man betrays the Avengers to Kang at the cost of several lives, ultimately including his own.",1995-09-10 00:00:00,1996-02-10 00:00:00
318,Dark Reign,"Norman Osborn came out the hero of Secret Invasion, and now the former Green Goblin has been handed control of the Marvel Universe. With his Cabal and the Dark Avengers at his side, can anything stop this long time villain from reshaping the world in his own image? And what has become of the heroes?",2008-12-01 00:00:00,2009-12-31 12:59:00
240,Days of Future Present,"An adult Franklin Richards travels back from the year 2017 to repair perceived ""inaccuracies"" in the timeline by altering reality. Richards' tampering of reality triggers a Sentinel program that awakens Ahab, the mutant hound-master, who attempts to apprehend the adult Richards in order to prevent any deviations from the timeline that spurs the Sentinel-ruled North America.",1990-01-01 00:00:00,1990-01-23 00:00:00
332,Dead No More: The Clone Conspiracy,The Jackal has returned and initiated the Clone Conspiracy! Spider-Man and his allies must contend with friends and enemies alike back from the dead in a limited series by Dan Slott and Jim Cheung that spills into all of the Spidey titles!,2016-10-12 01:00:00,2017-02-01 01:00:00
245,Enemy of the State,"HYDRA, the Hand and a mutant group known as the Dawn of the White Light formed an alliance the purpose of which was to kill and resurrect superheroes under their control, starting with Wolverine. The alliance used Wolverine for various missions until he was recovered by S.H.I.E.L.D. and deprogrammed. Wolverine vowed to dismantle HYDRA and the Hand for what they did to him and for what they made him do.",2004-10-06 00:00:00,2005-02-11 00:00:00
246,Evolutionary War,"The High Evolutionary intends to help humanity reach the next stage of its evolution, regardless of the consequences, and embarks on a series of plans to attain his goal.",1988-01-01 00:00:00,1988-10-10 00:00:00
297,Fall of the Hulks,"The Leader, M.O.D.O.K. and their allies in the Intelligencia launch their ultimate plan to defeats the Hulks! Unfortunately the good guys, Bruce Banner's a powerless, Skaar's a wild card and Red Hulk can't be trusted.",2009-12-03 00:00:00,2010-04-20 00:00:00
248,Fall of the Mutants,"The X-Men battled the Adversary in Dallas, and X-Factor clashed with the Horsemen of Apocalypse in New York, while the New Mutants confronted the insane Ani-Mator on Paradise Island.",1988-01-10 00:00:00,2007-01-17 00:00:00
249,Fatal Attractions,"Magneto returns, more powerful than ever, and Professor X realizes it's time for their decades-long conflict to end, permanently. Professor X and Magneto square off against each other aboard Asteroid M and after Magneto strips Wolverine of his adamantium Professor X destroys Magneto's mind. Colussus stays behind to care for Magneto since he has now defected to the Acolytes.",1993-07-10 00:00:00,1993-11-10 00:00:00
302,Fear Itself,"The Serpent, God of Fear and brother to the Allfather Odin, rises to challenge Earthâ€™s Mightiest in a seven-issue event written by Matt Fraction with art by Stuart Immonen! As the Worthy, heralds of the Serpent, lay waste to the Marvel Universe, how can Thor, Captain America, Iron Man and the Avengers turn back the tide of fear?",2011-04-16 00:00:00,2011-10-18 00:00:00
287,Heroic Age,"Still lurking in the shadows are forces of evil and cosmic-level threats, but a new spirit of hope, courage, and the selflessness at the heart of heroism will rise up. The most extraordinary tales will be told in this Heroic Age of the Marvel Universe.",2010-04-25 00:00:00,2012-04-25 00:00:00
251,House of M,"When the Scarlet Witch alters reality, the Avengers and X-Men face a world like none theyâ€™ve ever known! Writer Brian Michael Bendis and artist Olivier Coipel re-imagine the Marvel Universe with Magneto bringing mutantkind to prominence in an eight-issue event. As the only person who remembers how things used to be, can Wolverine set things right? Should he?",2005-06-01 00:00:00,2005-11-28 00:00:00
252,Inferno,"The demon-sorcerer N'astirh not only wished to rule Limbo, but Earth as well. He conceived of a plot to kidnap 13 human babies in order to sacrifice them in a ritual known as Inferno. Using the babies' energy, he opened a portal between Limbo and Earth, which grew unnaturally hot and people began to succumb to their evil desires. Inferno had begun.",1988-12-10 00:00:00,2010-08-25 00:00:00
315,Infinity,"While the most powerful Avengers journey into outer space in an attempt to unite the universe against the Builders, Thanos attacks the Earth in a six-issue event written by Jonathan Hickman with the art of Jim Cheung, Jerome Opena and Dustin Weaver! Featuring the Guardians of the Galaxy, the Inhumans and many more!",2013-08-14 00:00:00,2013-10-31 00:00:00
253,Infinity Gauntlet,"When the Mad Titan, Thanos, acquires the all-powerful Infinity Gauntlet and erases half the universe, the survivors must attempt to topple an omnipotent opponent! Led by the resurrected Adam Warlock and aided by primal cosmic forces, Earthâ€™s protectors enter cosmic warfare in a six-issue event written by Jim Starlin and featuring the art of George Perez and Ron Lim!",1991-07-10 00:00:00,2005-01-19 00:00:00
29,Infinity War,"The Magus, the purged, evil side of Adam Warlock believed to have been dead, has returned in order to collect the Infinity Gems and recreate the Infinity Gauntlet itself. He sent evil doppelgangers of Marvel's superheroes to attack and usurp the originals. Thanos, exiled since his defeat during the Infinity Gauntlet event, learned of the Magus' plans and set out to aid Adam Warlock and the heroes in defending the universe.",1992-06-10 00:00:00,1992-11-10 00:00:00
317,Inhumanity,"Following Infinity, the actions of Black Bolt have affected not only his people, but the entire Marvel Universe, as a new race of Inhumans rises up! Witness change for every major Marvel character, led by Inhuman, a new series from Matt Fraction and Joe Madureira!",2013-12-04 00:01:00,2014-01-29 23:59:00
334,Inhumans Vs. X-Men,"With the Inhumans' power-granting Terrigen mists threatening the lives of every mutant on the planet, the X-Men have no choice but to declare war! Writers Jeff Lemire and Charles Soule along with artist Leinil Francis Yu chronicle the conflict with a six-issue limited series kicking off in December 2016!",null,null
255,Initiative,"After the partial destruction of Stamford, CT, the United States federal government enacted the Superhero Registration Act, a law designed to monitor, regulate, train and coordinate America's superheroes. The Initiative was an outgrowth of the SHRA, created by Tony Stark, the purpose of which was to place standby superhero teams in all 50 states.",2007-04-15 00:00:00,2010-06-20 00:00:00
328,James Patterson's Max Ride,"The outcast teenagers of James Patterson's best selling ""Maximum Ride"" novel series come to comics! It's up to these super-powered young people to save a world that has left them behind!",null,null
32,Kings of Pain,"The terrorist organization A.I.M. seek to resurrect the powerful reality-altering mutant named Proteus, and it's up to the various X-teams and the New Warriors to stop them.",1991-01-01 07:00:00,1992-05-11 07:00:00
258,Kraven's Last Hunt,"Frustrated with his repeated failed attempts at killing Spider-Man, Kraven the Hunter hatches a final plot to best his adversary, shooting and burying him alive. With his enemy out of the way, Kraven dons a Spider-Man costume and patrols the city, intent on proving himself a better hero. The real Spider-Man soon awakens and hunts the Hunter!",1987-10-10 00:00:00,2012-03-21 00:00:00
311,Marvel NOW!,The greatest creators in comics bring the best characters to life monthly in Marvel NOW! Get all the latest on who will be shining as the Marvel Universe continues to push the envelope every month!,2012-10-10 00:01:00,2037-12-31 01:00:00
151,Maximum Carnage,"Breaking out of prison, Carnage collected several psychopathic super villains and went on a rampage. Spider-Man and Venom came into an uneasy alliance to try and defeat Carnage and his twisted ""family"" with the help of such disparate heroes as Captain America, Morbius and others.",1993-05-01 00:00:00,1993-08-22 00:00:00
37,Maximum Security,"At a meeting of the Shi'Ar intergalactic council, after numerous races lodge complaints against humanity, it is decided that Earth will become a prison planet. Unfortunately, one of the prisoners sentenced to Earth is Ego the Living Planet, who proceeds to expand exponentially, threatening the entire planet. It is soon discovered that one of the complaining races, the Ruul, are the Kree, whose Supreme Intelligence evolved them using the Destiny Crystal and manipulated the council to destroy Earth's heroes!",2000-12-01 00:00:00,2001-01-03 00:00:00
299,Messiah CompleX,"It's a race between the X-Men, the Marauders, the Purifiers and more to claim the first mutant baby born since Decimation and control the future of mutantkind!",2007-10-31 00:00:00,2008-01-30 00:00:00
298,Messiah War,"X-Force has traveled years into the future to aid Cable against his greatest foe, Stryfe, with the life of Hope, the mutant messiah, in the balance!",2009-05-01 00:00:00,2009-07-23 00:00:00
337,Monsters Unleashed,"Watch out as Monsters Unleashed rumbles into the Marvel Universe with terrifying threats new and old! Marvel's top heroes face monstrous challenges in a five-issue limited series written by Cullen Bunn and featuring the artistic talents of Adam Kubert, Greg Land, Salvador Larroca, Steve McNiven, and Leinil Yu! Can anybody stop the Monsters Unleashed? ",null,null
333,Monsters Unleashed,"Watch out beginning in January 2017 as Monsters Unleashed rumbles into the Marvel Universe with terrifying threats new and old! Marvel's top heroes face monstrous challenges in a five-issue limited series written by Cullen Bunn and featuring the artistic talents of Adam Kubert, Greg Land, Salvador Larroca, Steve McNiven, and Leinil Yu! Can anybody stop the Monsters Unleashed? ",null,null
263,Mutant Massacre,"The underground community of mutants known as the Morlocks are slaughtered by the villainous Marauders at the behest of Mister Sinister. Investigating, the X-Men, X-Factor and other heroes find themselves locked in a life or death struggle to save the surviving Morlocks from extermination.",1986-10-10 00:00:00,2010-01-06 00:00:00
154,Onslaught,"The evil within Professor Charles Xavier combines with the power of Magneto to create Onslaught, perhaps the greatest threat ever to the Marvel Universe! It begins with the X-Men, but before the end, the Avengers, the Fantastic Four and the rest of Earth's greatest heroes will know sacrifice before victory!",1996-07-01 07:00:00,1996-10-24 07:00:00
319,Original Sin,"Earth's Mightiest Heroes discover Uatu, the Watcher, dead on the moon, a murder mystery ensues that will reveal shocking secrets about every major Marvel character! Jason Aaron and Mike Deodato lead the Avengers, Spider-Man, the Hulk and many more on status-quo altering eight-past adventure!",2014-05-01 00:00:00,2014-08-31 23:59:00
266,Other - Evolve or Die,"Just as Spider-Man discovers he's dying from a mysterious disease, Morlun seemingly returns from the dead. Morlun attacks Spider-Man, with the intention of absorbing his essence. But when Morlun threatens Mary Jane, Spider-Man savagely protects her, biting Morlun and absorbing his essence, killing him. Spider-Man dies in Mary Jane's arms and his body is taken to Stark Tower, where something emerges from the body and forms a cocoon from which a revitalized Peter Parker soon breaks free with newfound powers. ",2005-12-12 07:00:00,2006-03-21 07:00:00
212,Planet Hulk,"After being exiled from Earth by the Illuminati, Hulk found himself on the planet Sakaar, where he was imprisoned and forced to do gladiatorial battle in the emperor's arena. Hulk and his compatriots quickly rose through the ranks, and were soon approached by a rebellion that plotted to overthrow the emperor. Hulk declined, and the rebels were detained. But rather than killing them in the arena, Hulk helped them escape, and led his fellow gladiators to freedom.",2006-04-01 00:00:00,2007-06-02 00:00:00
304,Point One,A great jumping on point for new readers setting up new stories and conflicts for Marvel's top heroes!,2011-08-03 00:00:00,2037-01-01 01:00:00
295,Realm of Kings,"The fallout from the epic battle between Black Bolt and Vulcan has opened a tear in the universe and into the mysterious Fault. What bizarre menaces now face Nova, the Guardians of the Galaxy, the Inhumans and the Imperial Guard?",2010-01-11 00:00:00,2010-05-21 00:00:00
336,Secret Empire,"Steve Rogers has gone rogue and taken over the United States! It's up to the united forces of the Avengers, the Champions, the X-Men and more to bring down one of their own in the nine-issue limited series written by Nick Spencer!",2017-04-19 01:00:00,2017-08-09 01:00:00
269,Secret Invasion,"The shape-shifting Skrulls have been infiltrating the Earth for years, replacing many of Marvel's heroes with impostors, setting the stage for an all-out invasion.",2008-06-02 00:00:00,2009-01-25 00:00:00
270,Secret Wars,"The most powerful heroes and villains in the Marvel Universe square off on Battleword with the victor promised their greatest dreams and desires! Writer Jim Shooter and artists Mike Zeck and Bob Layton introduce the Beyonder in a 12-issue event featuring the Avengers, the X-Men, the Fantastic Four, Spider-Man, Magneto, Doctor Doom and more!",1984-05-10 00:00:00,2008-12-17 00:00:00
323,Secret Wars (2015),Time Runs Out. Everything Ends. The Secret Wars commence in May 2015 from Jonathan Hickman and Esad Ribic!,2015-05-01 07:01:00,2015-12-31 07:59:00
271,Secret Wars II,The omnipotent Beyonder comes to Earth to better understand the concept of desire as the heroes assemble to combat the threat he poses.,1985-07-10 00:00:00,2009-05-13 00:00:00
59,Shadowland,"Matt Murdock dared evil ... and lost! The battle for the soul of a hero begins! Pushed beyond his limits, Daredevil faces off for a final time against his deadliest foe--Bullseye--in their most brutal battle ever with more than just Hell's Kitchen is at stake. Spider-Man, Luke Cage, Iron Fist, Punisher and more join forces to stop a war that is breaking out throughout New York, with Daredevil at the center. This event will change the streets of New York City--and the heroes that protect it--forever.",2010-09-08 00:00:00,2010-12-02 00:00:00
309,Shattered Heroes,"Welcome to Shattered Heroes, a bold new beginning featuring the Avengers, The Hulk, the Defenders and more as they carve out new roles in the Marvel Universe. Prepare for new teams, new heroes and new threats like youâ€™ve never seen before!",2011-10-19 00:00:00,2012-04-22 00:00:00
273,Siege,"When Norman Osborn gathers his evil Cabal to attack Asgard, Captain America leads the Avengers to end the Dark Reign! In a four-issue event written by Brian Michael Bendis with art by Olivier Coipel, Earth's Mightiest reunite to oppose their dark counterparts and kick start a Heroic Age!",2009-12-06 00:00:00,2010-05-19 00:00:00
219,Siege of Darkness,The demonic union of Zarathos and Lilith spells supernatural trouble for Earth unless the Midnight Sons can stop the carnage.,1993-12-10 00:00:00,1993-12-20 00:00:00
305,Spider-Island,"This summer, heroes, villains and ordinary people across Manhattan gain spider abilities, but not all realize that with great power comes great responsibility! Can Spider-Man keep the peace? Dan Slott spearheads this arachna-tastic event in the pages of Amazing Spider-Man!",2011-08-29 00:00:00,2011-11-11 00:00:00
321,Spider-Verse,"When the unstoppable Morlun returns, it will take every Spider-Man EVER to stop him! Dan Slott and Olivier Coipel spearhead a massive event that unites wall-crawlers across all universes against a single threat, swinging through Amazing Spider-Man and a web of tie-ins!",2014-11-01 00:01:00,2015-03-31 23:59:00
327,Star Wars,"A long time ago in a galaxy far, far away, the adventures of Luke Skywalker, Han Solo, Princess, Leia, Darth Vader and more continue! Set following the events of Episode IV: A New Hope, Marvel's ongoing Star Wars comics reveal new stories featuring these classic characters!",null,null
294,The Thanos Imperative,"A realm where death has become extinct bleeds into our reality, and in order to stop it the Guardians of the Galaxy must recruit one of their greatest enemies: Thanos! This six-issue event written by Dan Abnett and Andy Lanning with art by Miguel Sepulveda chronicles if the Marvel Universeâ€™s most notorious murderer will find redemption or doom all that live!",2010-08-26 00:00:00,2011-01-05 00:00:00
276,War of Kings,"In an effort to punish the Skrulls for their attempted Invasion, the Inhumans chase down a Skrull vessel, only to accidentally destroy a Shi'Ar ship instead, enraging the Shi'Ar emperor, the powerful mutant Vulcan. The Inhumans find themselves allied with the Kree against a Vulcan-led Shi'Ar incursion.",2009-03-07 00:00:00,2009-08-12 00:00:00
277,World War Hulk,"When the Illuminati sent the Hulk into outer space, they hoped he would find peaceâ€”they never expected he would return with an army at his back! The Worldbreaker and his Warbound challenge the heroes of Earth in a six-issue event written by Greg Pak with art by John Romita Jr. featuring the explosive battles and all-out action!",2007-07-01 00:00:00,2008-01-01 00:00:00
60,World War Hulks,"The fall is over. Long wage the war. Red Hulk and Banner have failed, and their worst nightmares have come to kill them. Will they die fighting M.O.D.O.K. and his army of Hulks, or die by the hands of the Hulked-Out Heroes?",2007-07-07 00:00:00,2008-01-27 00:00:00
316,X-Men: Battle of the Atom,"The presence of the original X-Men in the modern day has drawn mutants from the future back in time for a clash that will determine the fate of their race! With the timestream unraveling and civil war on the horizon, this 10-issue event features the talents of Brian Michael Bendis, Jason Aaron, Brian Wood, Frank Cho and many more!",2013-09-04 00:00:00,2013-10-31 00:01:00
308,X-Men: Regenesis,"In the aftermath of X-Men: Schism, the Children of the Atom have split, with Cyclops and his team remaining on Utopia while Wolverine has returned to Westchester and opened the Jean Grey School for Higher Learning. Follow the new stage of evolution for Marvel's mutants in X-Men: Regenesis!",2011-10-12 00:00:00,2012-04-25 00:00:00
306,X-Men: Schism,"A new Hellfire Club unleashes Sentinels on Utopia and causes a split in the X-Men! While Cyclops would mobilize the youth of mutantkind against those who would threaten them, Wolverine seeks to teach the next generation a new way. Writer Jason Aaron and an unparalleled team of artists explore this turning point in X-Men history with a five-issue event!",2011-07-04 00:00:00,2011-10-05 00:00:00
279,X-Men: Second Coming,"Cable and Hope have returned to the present, but will it be too late to save mutantkind as Bastion unleashes his final assault on the X-teams?",2010-03-31 00:00:00,2010-07-23 00:00:00
280,X-Tinction Agenda,"Genoshan forces attack Xavier's School in an attempt to make the X-Men pay for their ""crimes"" against the island nation.",1990-11-10 00:00:00,1991-01-10 00:00:00
