id,name,education,place_of_origin,aliases,identity
f2235a26-ff19-4d1f-80ce-99ebd67b18eb,PARKER ROBBINS HOOD,High school dropout,"Brooklyn, New York City, New York",None,Secret
d1e13ba3-b3eb-4fb0-a07c-e1c4e0b788f8,UNREVEALED IMMORTUS,Unrevealed,Unrevealed location of 30th Century Earth,None,Secret
3c65ff51-d217-4f91-8cd5-4988e7709ced,"NIGHT NURSE As the Night Nurse, Linda Carter heals and patches up Super Heroes in need.",M.D.,null,None,Secret
2ba70ea4-0c6e-439e-ba82-5fda67a1a6e6,SALOMÉ (PRESUMABLY) SALOM,Unrevealed,Unrevealed,Blessed Mother,No dual identity
952db63e-9d8f-480d-b77f-3b92a759d0ea,UNREVEALED TOPAZ,Extensive magical training,Unrevealed,"Nightmare creature, Sin creature",No dual identity
18bad09a-e409-40b3-a4cb-a7fcfe88e491,VANESSA GERALDINE CARLYSLE COPYCAT,Unrevealed,"New Brunswick, New Jersey","Nurse Veronica, Patricia Muggins, Titania/Mary MacPherran, Garrison Kane, Christina Valentino, Domino, Cheryl Marks, numerous others",Secret
8728da4e-32c6-469b-9469-b3e8233d22d7,CAIERA,Tutored by Imperial military strategist,"The Great Desert, planet Sakaar, Tayo Star System, Fornax Galaxy","Lieutenant, Caiera the Oldstrong",Caiera’s existence is unknown to the general populace of Earth
6b5296f2-8a41-4816-818a-c698a80b3d1c,DR. ALYSSA MOY ALYSSA MOY,College graduate,Unrevealed,None known,No dual identity
bd1d9edc-c59d-4ac2-9175-8f2e37888c7f,AGATHA HARKNESS,null,null,null,null
48fdcbf7-c928-46ea-9aa2-182b71ecc7ae,NICK FURY NICK FURY,College degree,Unrevealed,November Foxtrot (his Gulf War call sign) presumably many undercover aliases,No dual identity
f1ec7818-22a3-43bd-9292-206027ef0384,MAR-VELL CAPTAIN MARVEL,Kree military training,"City of Rad-Nam, Kree-Lar, Planet Hala, Kree Galaxy",Dr. Walter Lawson,No dual identity
6e75668b-dc28-479e-b6a5-01b6327fbd57,BLACKJACK O'HARE,Unrevealed,Halfworld,None,Secret
ad6003b1-7e99-4467-a046-f3fc4deab043,DYVYNE LORD DYVYNE,Unrevealed,Halfworld,None,Secret
e84aa488-32ae-4026-b906-cff81c3e4735,PYKO UNCLE PYKO,"Unrevealed, but Uncle Pyko may be the smartest creature on Halfworld in the fields of engineering, robotics and science",Halfworld,None,Secret
c3e2755f-e2be-4c7b-bddd-ecc5afbc7a7d,UNREVEALED BLINDSPOT,Unrevealed,Unrevealed,Memory thief,Secret
8db480a9-63a0-4e0a-b9bb-5d4dd0ab9f20,ROBERT FRANK WHIZZER,Unrevealed,Unrevealed,None,Unrevealed
1af24a18-c1bb-4542-a9b4-b1f537035a98,LYRA,Tutored by the Gynosure,"presumably Milago, Earth-8009","Savage She-Hulk, She-Hulk from Earth-8009, Agent SH-8009, Greenwitch",Known to authorities
2470246f-d1e8-4e33-b687-8ef2385bf1e8,MODRED MODRED THE MYSTIC,Unknown,6th Century England,None,No dual identity
a4532c76-9c68-412e-a31c-6d51483354be,"HEIMDALL An all-seeing Asgardian in charge of guarding the Rainbow Bridge known as the Bifrost, Heimdall's keen skills serve him well as a first line of defense.",null,"Himinbjorg, Asgard","Heimdallr, White God, Hallinskidi, formerly Ezra, formerly Donald Velez",No dual identity
05856574-6524-4d1a-b293-77288599c5a1,TAMARA RAHN,College degree (Laab educational equivalent),Unknown location on the aquatic planet of Laab,"""Tammie""",No dual identity
83dae6e1-bda9-4d45-8b37-44997da2ac85,ROMA,Unknown,(presumably) Otherworld,Lady of the Northern Skies,"Publicly known on Otherworld, existence unknown to general populace of Earth"
7b8635c0-9a4a-4a10-a66d-43c79b4e505b,ALYSANDE STUART,null,Unknown,Brigadier Sandy Stuart,Public
b9b4c676-7fb8-4d55-91b1-718a4194a84e,BRUNNHILDE VALKYRIE,"Warrior school graduate, unspecified graduate courses",Unrevealed,"Brunnhilda, ""Val,"" ""Sword Girl,"" ""Golden Hair,"" Barbara Norriss, Val Doe","Publicly known, the Valkyrie's godhood is not acknowledged by the general populace of modern day Earth"
fddeeb10-d478-47df-bc7b-c79391bea465,M'BAKU MAN-APE,Unrevealed,"Wakanda, Northern Africa",White Gorilla,Known only to Wakandan and American authorities
9b227e05-a8f2-4d0b-b72b-0a40ce391069,"YELENA BELOVA BLACK WIDOW At age 15, Yelena was chosen as a candidate to become the new Black Widow, as Natasha Romanova was no longer loyal only to Russia.",Graduate of the Moscow Red Room espionage unit,Russia,"Captain Yelena Belova, Little Spider, Rooskaya, Adaptoid, Super-Adaptoid",Secret
b63127b7-e9e7-4eea-8f11-98b5004b44ba,"ALEXEI SHOSTAKOV RED GUARDIAN Through the Red Guardian, the Russians hoped to hone a national hero to represent them, just as Captain America (Steve Rogers) represented the USA.",Unspecified undergraduate degree,"Moscow, USSR",None,Secret
4b512bbc-6578-4475-9c6d-3a4eea71743e,EN SABAH NUR APOCALYPSE,none,cuba,"santa claus,zack eforon",Publicly known
723279c3-17c9-401f-b0af-32895bbe88e1,WADE WILSON (ALLEGEDLY) T-RAY,Unrevealed,Unrevealed,None,Secret
7e52ad8f-2603-4935-90c9-8bf6d0012080,REED RICHARDS REED RICHARDS,"Multiple scientific doctorates in fields such as engineering, math and physics from California State Institute of Technology, Columbia University, Harvard and State University, and others","Central City, California","Mister Fantastic, Doctor Doom, Richard Reed, Invincible Man, Reed Benjamin, ""Man in the Mystery Mask"", Mister ""Elastic""",Publicly Known
de30e2d1-2954-4dd9-9147-f45da5d9a302,UNREVEALED ANTI-CAP,High school graduate,"Sayreville, Oklahoma",Captain America,Secret
f76eecdf-7e8e-45de-bb95-f15e60341e89,MORROW (LAST NAME UNREVEALED) MORROW,Unrevealed,Unrevealed,None known,The general inhabitants of Earth were unaware of Morrow's existence
8299a75b-d15a-4a38-9fe2-6df3c734f2d2,ELIHAS STARR EGGHEAD,Advanced degrees in major sciences,"Queens, New York City, New York",Carl Striker,Publicly known
71efaf7e-4232-44dc-a954-d4d54b060f97,PROFESSOR MENDEL STROMM MENDEL STROMM,Ph.D. in robotics,"Bellows Falls, Vermont","Gaunt, Robot-Master",Known to authorities
2d2551b6-51f9-4908-8ff6-b7591796ea34,WILLIAM CROSS CROSSFIRE,Masters degree,"Madison, Wisconsin",None known,Publicly known
77c92fef-710b-42f7-8156-21cded5f451d,ABRAXAS,No formal education,Within Eternity,unrevealed,No dual identity
521045f6-8e86-4bf9-b063-560cb7f95abb,JONATHON REED RICHARDS HYPERSTORM,Unrevealed,Unrevealed,None,Secret
69fab315-e241-4d1f-8c34-1a1cc8b10561,UNREVEALED CENTURIOUS,Trained sorcerer,Unrevealed,"The Soulless Man, the man without a soul",Secret
3821e139-c631-4340-84ec-bda25aa1a56a,LUCIFER LUCIFER,Unrevealed,Heaven,"Light-Bearer, the Devil, Prince of Darkness, Greeix, Jack O'Lantern (Steven Levins), Morningstar, many others",No dual identity
10eb7192-b4c4-4828-a550-651095f98d0f,ZARATHOS,Unrevealed,Unrevealed,"Ravenger of Souls, Living Spirits of Vengeance, Ghost Rider; impersonated Ben Parker, Mary Parker, Richard Parker, George Stacy",No Dual identity
baa15650-c9fd-4b96-9409-30f627697aa2,ABD-EL-HAZRED ABDUL ALHAZRED,Unrevealed,Saudi Arabia,"The Mad Arab, Master, Death God",No dual identity
9fe3acd9-6e09-4ca6-8428-b1d5af4f6e3e,CAIN MARKO JUGGERNAUT,Military boarding school,"Berkley, California",Formerly Exemplar of Physical Power,Known to authorities and certain government officials
8cea3786-3b1f-4e4c-9639-17b8eb8e4d1a,VLADIMIR OREKHOV VOLKH,Unrevealed,Unrevealed location in Russia,None,Secret
d37d9fd1-f151-491d-a6fd-9d30c3177649,UNKNOWN MAN-BEAST,"Extensive knowledge of advance science during mutation, self-educated to an unrevealed level in all known sciences","Wundagore Mountain, Transia","Lord Anon, Lord Karnivor, Karnivore, Kyle Munson, Omega, Ultimate Predator, Master of Hate, Hate-Monger, Mentor, Rex Carpenter, Prophet, Super Beast",No dual identity; existence unknown to Earth's general public
961e8186-5ba4-44d4-9782-d3663cb2b3b4,"OKOYE One of Wakanda's greatest warriors, Okoye proudly protects her country's king alongside the Dora Milaje.","Recruited from her tribe for ceremonial order of wives-in-training for King of Wakanda, serving as personal valets and bodyguards",Wakanda,None,No dual identity
faccaecc-0bd0-4fd7-bf71-cbbfe1abc06e,FRANKLIN HALL GRAVITON,Ph.D. in physics,"Banff, Alberta, Canada",None,Publicly known
9bde2c4f-5d6c-4458-a654-c93bbdb03580,"NATHANIEL ""NATE"" GREY NATE GREY",Unrevealed,Earth-2098,Shaman,Publicly known
ddc88ecc-634d-46ba-8bb9-ff894ee8b139,JUDSON JAKES,Unrevealed,Halfworld,None,Secret
340753b7-e1c5-49a5-b6fb-65dc190a7505,ALISON BLAIRE DAZZLER,College graduate,"Gardendale, Long Island, New York",Ali,Publicly known
e3de2da4-770e-4d3a-bec8-0d1065c697e4,CHTHON,Self-educated,Earth,"Demon of the Darkhold, Great Shadow, Other",Existence unknown to general public
db7276b5-35cc-40dc-9e16-a976a61e7737,COTTON MATHER,Unrevealed,Unrevealed,Witch-Slayer,No dual identity
8e5fc2ca-c187-4d2d-8819-e2ec5fd2e46a,MARTIN PRESTON MASTER PANDEMONIUM,Unrevealed,"Rutland, Vermont","""The abode of all dimensions"" (translation of Pandemonium)",Publicly known
726a2f5b-a66e-414d-88d9-7905b5a0bbc6,NULL THE LIVING DARKNESS NULL THE LIVING DARKNESS,Inapplicable,Inapplicable,"Adam Henderson, Kyle Richmond, Simple Joe, Over-Mind",The general populace of Earth is unaware of Null's existences
30b183d4-f572-4f0f-ac67-e09f939a9481,SET,Inapplicable,Nascent Earth,"Father Set, the Great Serpent, Serpent God",The public is largely unaware of Set’s existence
9590d8d4-569c-442e-a97f-fb0ef2deab92,MELODY GUTHRIE AERO Mutant Melody Guthrie manifests the power of flight and studies at the Xavier Institute until the fateful M-Day that depowered her and many other mutants.,Various courses at Xavier Institute,"Cumberland County, Kentucky",None,Secret
36fc168a-b634-43cf-9d21-83e7c6d583d8,NATHAN DOLLY BROTHERS GRIMM,Unrevealed,Unrevealed,"Mister Doll, Brothers Grimm, Jacob Dolly, William Dolly",Secret
6be2c590-0285-4c89-8987-7ec2b9110bff,UNREVEALED LOCKSMITH,Unrevealed,Unrevealed,None,Secret
8f7da653-936f-44e3-a783-5ba316c10a95,MORGAN LE FAY,Pupil of Merlin,"Tintagil Castle, Gorre (now part of modern Cornwall, England)","Morgana le Fay, Morgaine le Fay, Vivian Morgan, Sea Priestess",No dual identity; widely regarded as a fictional character
eab7d5b9-6dbb-4394-8213-4c37b9c26951,"UNREVEALED,POSSIBLY MARDUK MARDUK",No formal education known,Babylon (part of modern day Iraq),"Zoltan Nestor, many others","As Zoltan Nestor, Marduk's true identity was secret"
a50156a9-d9a3-40d4-b02e-fb74c3fd5c4e,BRUNO HORGAN MELTER,Unrevealed,"Queens, New York City, New York",None,Publicly known
15d84ae4-6d24-4a80-92ed-d0a5d40b9555,NATHAN LEMON SPYMASTER,Unrevealed,Unrevealed,"Number One, Santa Claus",Known to the authorities
15637196-8e81-4a2c-8797-e867090440fc,BLACKIE DRAGO VULTURE,Unrevealed,Unrevealed,None,Publicly known
96ade6c7-c17c-429e-af1e-ed149d848475,UNREVEALED BLACKOUT,Unrevealed,Unrevealed,Blackout,The general populace of Earth was unaware of Blackout's existence
9ad35950-857a-4886-9043-8a27448fbd67,NIL SISTER NIL,Limited studies in magic under Dr. Strange,Unrevealed,None,Secret
baf5f71c-a729-4121-93a6-da63ceedbd1f,HEATHER TUCKER TEMPO,Unrevealed,Unrevealed,Harriet Solomon,Secret
b8df3050-dda4-4c4a-bec2-4ba4f95038e3,UROTHONA URTHONA,Unrevealed,Gevaltu,None,The general populace of Earth is unaware of Urthona's existence
acb5756f-1c74-405e-87b3-95132f0542b5,UNREVEALED. POSSIBLY ZOM ZOM,Unrevealed,Unrevealed,Zomling,Unknown to the general populace of Earth
05126f67-2b3e-4c80-bbc0-e950bb4a7e92,OTIS DANGER JOHNSON II OTIS JOHNSON,Unrevealed,Unrevealed,"Otis from the Island of Shaolin, Secretary Supreme",Secret
7b6051ad-f658-4887-af60-aeee6b522053,PAMELA DOUGLAS SUNDRAGON,Unrevealed,Unrevealed,Moondragon,Secret
55b42a6c-33ca-448e-b647-a7ccc7756a76,DR. BRIAN BANNER BRIAN BANNER,Unrevealed,null,None,Publicly known
7cdea64e-634d-4374-9440-fcd518f23b9d,NATHANIEL RICHARDS,Unrevealed,Unrevealed,"The Warlord, Doctor Doom",No dual identity
b660a646-9564-4dfc-b865-75ab95e226a8,ALADI KO EKE,Unrevealed,Unrevealed,None,The general populace of Earth was unaware of her existence
a743240b-4e46-4484-9e50-fdca0ae5f991,AVOE,Unrevealed,Unrevealed,None,The general populace of Earth was unaware of her existence
3f20996a-97d6-4ac1-9cd7-d365904125c3,"UNKNOWN, POSSIBLY FOXBAT FOXBAT",Unrevealed,Unrevealed,None known,The general populace of Earth was unaware of Foxbat's existence.
00cd92e4-49a5-4b64-914a-fe30027946c0,ONOMI WHITEMANE,Unrevealed,Unrevealed,None,The general populace of Earth is unaware of her existence
d0059157-558c-4a37-a7f7-b7eedf8444ac,OOLA UDONTA,Unrevealed,Unrevealed,None,The general populace of Earth was unaware of her existence
1fc10cc2-8cf4-4c61-a6f2-f3417fcc398d,UNREVEALED UNSPOKEN,Royal tutors of Attilan,Attilan,None,Secret
23a09ad8-fc74-4ad8-b1c0-1ddd108be55d,BALDER,Unrevealed,Asgard,The Brave,No dual identity; the majority of Earth's population believes Balder to be a mythological figure
9e69139c-1936-40cc-99e0-71ffb244f7b0,FRIGGA,Unrevealed,Asgard,"Freda Barker, Fricka, Frig, Frijja",No dual identity
95382a5e-7dd9-4484-b2a0-7fe35530850a,"HELA With family ties to the rulers of Asgard, Hela seeks power (and followers) for herself.",null,"Unrevealed, allegedly Jotunheim",None,No dual identity
b4b23bd4-85d0-46d4-b739-9faa7f181f27,SIGYN,null,The realm of Asgard,None,Secret
c04538cb-d2f7-4c80-b38c-e8e84acbecc0,VIDAR,Unrevealed,The realm of Asgard,None,Secret
3e482d2a-927b-403c-b7b1-b6cad7190ca8,GODDESS,null,null,null,null
8b38f9eb-b62d-41af-9a44-fa81bf206cd6,NONE KISMET,Self-taught; initially programmed by Enclave during creation,"Beehive, Shard Island, Atlantic Ocean","Ayesha, She Who Must be Obeyed, J'Ridia Starduster, She Whose Trail Dusts Hope, Her, Paragon",No dual identity
8c3b93f4-e136-4071-a276-86acb01e2e9a,GUSTAV BRANDT LIBRA,Unrevealed,Unrevealed,"Balance, Hooded One, Master of the Balance, Lloyd Willoughby",Secret
a56a8b1f-97f7-48d7-a25f-f8f0fd198b68,SEQUOIA QUOI,Equivalent of Earth high school,Unrevealed,"Q, One Who Would Change the Universe, Celestial Messiah",Secret
c0f87d93-173b-47ba-8677-1bf927efaeb0,GRAYDON CREED,Unrevealed,Unrevealed,Tribune,No dual identity
8cd7015a-61f2-4947-8992-596ab6649b18,CYBELE,Unrevealed,Unrevealed,"The Great Mother, Dyndymene Rhea, Agdistis",Cybele's existence is not known to the general public of Earth.
d275f7ee-cdbf-4f79-87ea-579fe882805a,BOR,Unrevealed,Asgard,"Borr, King Bor, Lord of Asgard, The Architect of Asgard",Believed fictional by general Earth populace
8d932b86-9392-41fa-9107-18d4de6055ec,UNREVEALED; GAEA IS HER GREEK NAME GAEA,5 billion years of life experience,Earth,"Mother Earth, Mother Nature, Great Mother, Aditi, Akka, Ala, Ammaveru, Citlacicue, Coatilique, Danu, Eithinoha, Erce, Hou-Tou, Jord, Nana, Nertha, Ninhursag, Nokomis, Pachamama, Prakriti, Rangi, Vaat, Yo, others",Believed to be a fictional being by most
fbe787e7-f310-42a3-a02b-6061a333a575,JONATHAN TIMOTHY BROCK III TIWAZ,Finished college at Planet Matrix;Tutored by the Greatest Perfected Minds (GPM),? Was claimed to be from Planet Matrix,"Greens, Alien, Redd, Barber, James, Jamie, Brock, Rock, M, others",known to MATRIX-otherwise secret
69f54f6e-b2c3-4f98-9731-e4fdd8378323,"HOWARD STARK Brilliant engineer, inventor, businessman, and founder of Stark Industries, Howard Stark is the mastermind behind the company that his son, Tony Stark, will one day inherit.",Advanced degrees in physics and mechanical engineering,"Richford, New York",Howard Anthony Stark,No dual identity
19c1cd75-f89d-4b35-aace-70be71f02744,VALERIA TOOMES VALERIE JESSUP,SHEILD agent training,"Flagstaff, Arizona",Valeria Merrick,Secret
33010f8d-9c11-4150-afc3-60eb99228c74,Steve Rogers,"High school graduate, one year of art school, military basic training, and private tutoring","Manhattan, New York City, New York","Steven Rogers, Brett Hendrick, Buck Jones, Yeoman America, Nathan Hale, The Captain, Anthony Schwarz, Roger Grant, Steven Grant Rogers, Nomad, The Man Without a Country, Roger Stevens, Lord of the Frozen Ice, Blondie, The Living Legend, Granny, Cap, The Sentinel of LIberty, The Brooklyn Project",Publicly known
9a664df4-1f99-4d38-9098-8a63bf322d43,James Buchanan Barnes,High school dropout,"Shelbyville, Indiana","James Buchanan Barnes, Captain America",Known to Certain Government Agencies
ff5c9116-91f3-4a54-8255-607e3010e26e,Nick Fury (LEGO Marvel Super Heroes),null,null,null,null
1b7345c8-3534-4dae-86e5-44afeedbdbf7,Sharon Carter,Unrevealed,"Richmond, Virginia","Agent 13, Irma Kruhl, Fraulein Rogers, others",No dual identity
0f3d523c-204c-438d-ae0e-2379ad264d97,Kate Bishop,Enrolled at Hawthorne Academy preparatory school,"New York City, New York","Hawkingbird, Mockingbird, Taskmistress, Weapon Woman",Secret
54ef7a3c-cc94-46a3-a575-b90e45ccdc31,Punisher (Marvel: Avengers Alliance),"Extensive military training, partial priesthood training","Queens, New York","Frank G. Castle (born Castiglione), Big Nothing, Major Bateman, Ted Bishop, Cliff Callador, Castigo, Chaloner, Fred D'Amato, Eastman, Charles Fort, Frank Loomis, McRook, Melchior, Joe Rainey, Frank Rook, Richard Rook, Tony Knowlen Ross, Francis Stronghold, Johnny Tower, Dmitri Velikoff, Frankie Villa, Yousoufian, numerous others",Publicly known
08248e9d-2917-4733-8a58-e903a4415b4e,Crossbones,High school dropout,Unrevealed,"Bingo, Frag, Mr. Bones",Known to the authorities
61001820-9393-43f9-b5f7-421f47e23a99,Red Skull,Red Skull was educated and trained by the U.S. military,Unrevealed,None,Known to S.H.I.E.L.D.
0a2f1216-2d48-4d01-9126-7f067a405c15,Spitfire,College graduate,"Maidstone, England","Jackie Falsworth, Lady Crichton",Publicly known
d2c30a1e-3a2b-4716-b1e0-4fef8c9bfe1f,Spider-Man (1602),"BS in Physics, doctoral studies in Biochemistry at ESU (Empire State University) (incomplete)","Forest Hills, New York","Peter Benjamin Parker, Friendly Neighborhood Spider-Man, The Amazing Spider-Man, The Sensational Spider-Man, The Spectacular Spider-Man, Tiger, Spidey, Webhead, Webslinger, Wall-crawler, Little Man, (formerly) The Amazing Octo-Spidey, Bag-Man, Bookworm, Captain Universe, Dusk, Hornet, Mad Dog #336, Man-Spider, Prodigy, Puny Parker, Ricochet, Scarlet Spider, Spider-Hulk, Spider-Phoenix",Secret
39cdc80f-e1b4-415e-91ff-5a650a46dd9f,Beast,null,null,null,null
c7da34d0-bc0d-4f10-81db-9d591c236325,Colossus (Ultimate),"College level courses taken at Xavier's School for Gifted Youngsters, no degree","Ust-Ordynski Collective, near Lake Baikal, Siberia, Russia","Peter Rasputin, formerly Peter Nicholas, the Proletarian",Secret
84500394-7d49-446c-9378-e1272e9c887a,Cyclops,Currently taking college level courses,Unknown,"Mutant number 118, X9",Publicly known
10b9e651-7d30-4f96-9a86-ebe6896b466e,Emma Frost,"College degree in business administration, qualified sex therapist","Boston, Massachusetts",Formerly White Queen,"Frost is known to have been a leader of the Hellfire Club, but her past criminal activities are not public knowledge"
705d7d9e-ac82-48f0-a825-e2b90dac7da9,Shadowcat (Age of Apocalypse),Some university-level courses,"Deerfield, Illinois","Shadowcat, Cat, Kitten, formerly Ariel, Sprite",Secret
1add487d-d6ab-43dc-8d84-bf76cfcfcfb9,Logan,"Extensive training as samurai, soldier, spy and other disciplines","Alberta, Canada","James Howlett, Logan, Wolvie, Runt, (formerly) Weapon Ten, Death, Mutate #9601, Jim Logan, Patch, Canucklehead, Emilio Garra, Weapon Chi, Weapon X, Experiment X, Agent Ten, Canada, Wildboy, Peter Richards, Patient X, Canucklehead, Amazing Immortal Man, many others",Known to Certain Government Agencies
3017cef9-e9a9-4b9d-a18f-e675a7ca88b0,Morbius,Ph.D in Biochemistry,Unknown,"The Living Vampire, formerly Morgan Michaels",Publicly known
ac75b839-5c59-47f5-a75d-313b87c61925,Tony Stark,Ph.Ds in physics and electrical engineering,"Long Island, New York","Anthony Edward ""Tony"" Stark, Shellhead, Golden Avenger, Tetsujin, Formerly Crimson Dynamo, Formerly Iron Knight, Formerly Hogan Potts, Formerly Randall Pierce, Formerly Spare Parts Man, Impersonated Cobalt Man (Ralph Roberts)",Publicly known
10fd5996-e098-4766-b7f9-7db03250dd1d,Sin,Homed schooled,"Isle of Exiles, Sargasso Sea","Skadi, formerly Erica Holstein, Mother Superior, Beast Goddess, Avatar of Evil, Heir of the Devil",Known to authorities
a891aaf5-7aed-4216-aed8-f128c0f182ec,Colleen Wing,College graduate,Japan,None,Publicly known
fd659c02-0ac4-4dce-be1d-750fa9eb48a0,Misty Knight,Police academy graduate,null,"Control, Maya Corday, others",No dual identity
8f6665e0-f8e6-4b0e-a557-16c11e00f951,Danny Rand,High school equivalent of K'un-Lun,null,"Daniel ""Danny"" Thomas Rand-K'ai, Cooper Payton, Daniel Thomas Rand, the Living Weapon, Young Dragon, Impersonated Spider-Man. Impersonated Daredevil",Publicly known
8a0544d0-b263-4db9-9662-9d9da38afde0,Deadpool (X-Men: Battle of the Atom),High school dropout and US Army Special Forces training,Unrevealed location in Canada,"Merc with a Mouth, Big Dee Pee, Captain Wilson, Johnny Salvini, Armando Khan, Mithras, Dr. Koffer, Takehiko Adachi, Wade T. Wilson, Test-o'clees, Jack, Chiyonosake (The Wolf of the Rice Wine), Rhodes, Corpus, Lopez, Hobgoblin, Thom Cruz, Peter Parker",Known to authorities
f17d871c-9c61-4b78-87d6-e6ce52acc072,Deathbird,Unrevealed,"The Aerie, Chandilar, Shi'ar Empire","Formerly War, Death Phoenix","Secret, publicly known in the Shi'ar Empire"
2aac7abd-eda1-47af-9ec3-828924163a02,Gambit,No official schooling,"New Orleans, Louisiana (presumed)","Death, Le Diable Blanc, formerly Robert Lord, Cajun",Publicly known
6d30c907-82c7-45a7-a56b-4f091f6aa7e9,Rogue (X-Men: Battle of the Atom),"College-level courses at Xavier's School, partial law degree","Caldecott County, Mississippi","Anna Marie (full name unrevealed), Anna Raven, Doctor Kellogg, Mutate #9602, Irene Adler, Miss Smith",Secret
54a64fdf-6d5b-4c0b-b51b-b23407df8652,Captain Marvel (Phyla-Vell),Extensive military training and acquired BA while in military,"Boston, Massachusetts","Ace, Binary, Lady Marvel, Warbird",Publicly known
9cacdab8-2e9e-4446-a6f6-ff0fe6cfaee7,Jessica Jones,High school graduate and private investigator's license,"Unrevealed, possibly Forest Hills, New York","Jessica Cambell Jones, Madeleine, Knightress, Jewel, Jess, other aliases in the course of investigative work",Publicly known
ce4e47da-c2e8-4e18-8378-b8db0b0266b9,Luke Cage,"High school dropout, self-educated in many areas",New York City,"Carl Lucas (legally changed to Luke Cage), Power Man, Mark Lucas, Hero for Hire, Ace of Spades, others",Publicly known
