"uri","city","state"
"http://www.wikidata.org/entity/Q9054574","Cadalso de los Vidrios","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q1866881","Palma","Illes Balears"
"http://www.wikidata.org/entity/Q9034501","Beuda","Catalunya"
"http://www.wikidata.org/entity/Q9054339","Pastrana","Castilla-La Mancha"
"http://www.wikidata.org/entity/Q1135742","Vitoria-Gasteiz","Euskadi"
"http://www.wikidata.org/entity/Q942130","Santo Adriano","Asturias / Asturies"
"http://www.wikidata.org/entity/Q17596773","Masarac","Catalunya"
"http://www.wikidata.org/entity/Q3669732","Santa Cruz de la Serós","Aragón"
"http://www.wikidata.org/entity/Q5910863","Mahamud","Castilla y León"
"http://www.wikidata.org/entity/Q28381918","Girona","Catalunya"
"http://www.wikidata.org/entity/Q18006715","Peralada","Catalunya"
"http://www.wikidata.org/entity/Q6150078","Camprodon","Catalunya"
"http://www.wikidata.org/entity/Q22227964","Gombrèn","Catalunya"
"http://www.wikidata.org/entity/Q2067794","Venta de Baños","Castilla y León"
"http://www.wikidata.org/entity/Q5785984","Carmona","Andalucía"
"http://www.wikidata.org/entity/Q12399328","Pontevedra","Galicia / Galiza"
"http://www.wikidata.org/entity/Q17596784","Pau","Catalunya"
"http://www.wikidata.org/entity/Q8350443","Lasarte-Oria","Euskadi"
"http://www.wikidata.org/entity/Q8350441","Deba","Euskadi"
"http://www.wikidata.org/entity/Q6121504","Poblete","Castilla-La Mancha"
"http://www.wikidata.org/entity/Q5836346","Argente","Aragón"
"http://www.wikidata.org/entity/Q6430536","Bellver de Cerdanya","Catalunya"
"http://www.wikidata.org/entity/Q18395817","Pontevedra","Galicia / Galiza"
"http://www.wikidata.org/entity/Q4873705","Villaviciosa","Asturias / Asturies"
"http://www.wikidata.org/entity/Q9007571","Málaga","Andalucía"
"http://www.wikidata.org/entity/Q5757254","Corbera de Llobregat","Catalunya"
"http://www.wikidata.org/entity/Q5909401","Arnuero","Cantabria"
"http://www.wikidata.org/entity/Q11912997","la Bisbal d'Empordà","Catalunya"
"http://www.wikidata.org/entity/Q3584901","Sevilla","Andalucía"
"http://www.wikidata.org/entity/Q43123501","Pont de Molins","Catalunya"
"http://www.wikidata.org/entity/Q5909858","Olmedo","Castilla y León"
"http://www.wikidata.org/entity/Q8342199","la Vajol","Catalunya"
"http://www.wikidata.org/entity/Q2884514","Chiclana de la Frontera","Andalucía"
"http://www.wikidata.org/entity/Q2219936","Teverga","Asturias / Asturies"
"http://www.wikidata.org/entity/Q5911933","Alcaudete","Andalucía"
"http://www.wikidata.org/entity/Q65770718","Hondarribia","Euskadi"
"http://www.wikidata.org/entity/Q8342196","Roses","Catalunya"
"http://www.wikidata.org/entity/Q8342191","Santa Maria de Besora","Catalunya"
"http://www.wikidata.org/entity/Q43093126","Legazpi","Euskadi"
"http://www.wikidata.org/entity/Q3813365","Madrid","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q8350458","Horta de Sant Joan","Catalunya"
"http://www.wikidata.org/entity/Q18005892","Camprodon","Catalunya"
"http://www.wikidata.org/entity/Q26721048","Palafrugell","Catalunya"
"http://www.wikidata.org/entity/Q3657539","Córdoba","Andalucía"
"http://www.wikidata.org/entity/Q28873666","Sant Martí de Llémena","Catalunya"
"http://www.wikidata.org/entity/Q11912727","Barcelona","Catalunya"
"http://www.wikidata.org/entity/Q6057971","Medina del Campo","Castilla y León"
"http://www.wikidata.org/entity/Q8342187","Cardedeu","Catalunya"
"http://www.wikidata.org/entity/Q5574519","Valladolid","Castilla y León"
"http://www.wikidata.org/entity/Q6121529","Córdoba","Andalucía"
"http://www.wikidata.org/entity/Q6744870","Lleida","Catalunya"
"http://www.wikidata.org/entity/Q9007117","Alt Àneu","Catalunya"
"http://www.wikidata.org/entity/Q52246214","Madrid","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q6121531","Murcia","Región de Murcia"
"http://www.wikidata.org/entity/Q43123509","Pont de Molins","Catalunya"
"http://www.wikidata.org/entity/Q6057986","Valladolid","Castilla y León"
"http://www.wikidata.org/entity/Q9034340","Sahagún","Castilla y León"
"http://www.wikidata.org/entity/Q16578022","Madrid","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q34485","Candelaria","Canarias"
"http://www.wikidata.org/entity/Q6091654","Graus","Aragón"
"http://www.wikidata.org/entity/Q669194","Yesa","Navarra - Nafarroa"
"http://www.wikidata.org/entity/Q171517","Madrid","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q20104297","Martorell","Catalunya"
"http://www.wikidata.org/entity/Q3896772","Cádiz","Andalucía"
"http://www.wikidata.org/entity/Q7413812","Llangréu/Langreo","Asturias / Asturies"
"http://www.wikidata.org/entity/Q20104293","Pontós","Catalunya"
"http://www.wikidata.org/entity/Q7126270","Cogolludo","Castilla-La Mancha"
"http://www.wikidata.org/entity/Q11682915","Villaviciosa","Asturias / Asturies"
"http://www.wikidata.org/entity/Q5912858","Sevilla","Andalucía"
"http://www.wikidata.org/entity/Q5911763","Tudela","Navarra - Nafarroa"
"http://www.wikidata.org/entity/Q8200934","Jerez de la Frontera","Andalucía"
"http://www.wikidata.org/entity/Q25474255","Oñati","Euskadi"
"http://www.wikidata.org/entity/Q28333488","Girona","Catalunya"
"http://www.wikidata.org/entity/Q11910374","Cabrils","Catalunya"
"http://www.wikidata.org/entity/Q3896782","Sevilla","Andalucía"
"http://www.wikidata.org/entity/Q5909689","Valladolid","Castilla y León"
"http://www.wikidata.org/entity/Q9067020","Sevilla","Andalucía"
"http://www.wikidata.org/entity/Q5909418","Candeleda","Castilla y León"
"http://www.wikidata.org/entity/Q159615","Aiguamúrcia","Catalunya"
"http://www.wikidata.org/entity/Q9034365","Sant Llorenç de Morunys","Catalunya"
"http://www.wikidata.org/entity/Q8200946","La Guardia de Jaén","Andalucía"
"http://www.wikidata.org/entity/Q888390","Ardales","Andalucía"
"http://www.wikidata.org/entity/Q20970631","Torres del Río","Navarra - Nafarroa"
"http://www.wikidata.org/entity/Q11911674","Vilassar de Dalt","Catalunya"
"http://www.wikidata.org/entity/Q3755367","Vitoria-Gasteiz","Euskadi"
"http://www.wikidata.org/entity/Q40549083","Donostia/San Sebastián","Euskadi"
"http://www.wikidata.org/entity/Q20876778","Riudarenes","Catalunya"
"http://www.wikidata.org/entity/Q5574972","Teror","Canarias"
"http://www.wikidata.org/entity/Q18003813","Cardedeu","Catalunya"
"http://www.wikidata.org/entity/Q5911749","Matapozuelos","Castilla y León"
"http://www.wikidata.org/entity/Q18003814","Bigues i Riells","Catalunya"
"http://www.wikidata.org/entity/Q18003816","Palma","Illes Balears"
"http://www.wikidata.org/entity/Q9088799","Castelldefels","Catalunya"
"http://www.wikidata.org/entity/Q5911989","Zamora","Castilla y León"
"http://www.wikidata.org/entity/Q2665595","Sevilla","Andalucía"
"http://www.wikidata.org/entity/Q16608587","Casbas de Huesca","Aragón"
"http://www.wikidata.org/entity/Q28711947","Lleida","Catalunya"
"http://www.wikidata.org/entity/Q934947","Valdemoro","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q6446730","Cetina","Aragón"
"http://www.wikidata.org/entity/Q3896767","Valladolid","Castilla y León"
"http://www.wikidata.org/entity/Q47170885","Avinyonet del Penedès","Catalunya"
"http://www.wikidata.org/entity/Q5047861","Reus","Catalunya"
"http://www.wikidata.org/entity/Q1278218","la Vall de Boí","Catalunya"
"http://www.wikidata.org/entity/Q9034345","Alzira","Comunitat Valenciana"
"http://www.wikidata.org/entity/Q6058611","Valladolid","Castilla y León"
"http://www.wikidata.org/entity/Q16489562","Tricio","La Rioja"
"http://www.wikidata.org/entity/Q3750901","Bilbao","Euskadi"
"http://www.wikidata.org/entity/Q6407112","Cartagena","Región de Murcia"
"http://www.wikidata.org/entity/Q18003847","Roses","Catalunya"
"http://www.wikidata.org/entity/Q18696116","Lloret de Mar","Catalunya"
"http://www.wikidata.org/entity/Q920742","Alcalá de Henares","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q2256022","Camaleño","Cantabria"
"http://www.wikidata.org/entity/Q5912887","la Vall d'Uixó","Comunitat Valenciana"
"http://www.wikidata.org/entity/Q7126221","Almansa","Castilla-La Mancha"
"http://www.wikidata.org/entity/Q17595842","Avinyonet de Puigventós","Catalunya"
"http://www.wikidata.org/entity/Q12259431","Beasain","Euskadi"
"http://www.wikidata.org/entity/Q4407295","Madrid","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q5047899","Sevilla","Andalucía"
"http://www.wikidata.org/entity/Q5723890","Jaén","Andalucía"
"http://www.wikidata.org/entity/Q523311","Málaga","Andalucía"
"http://www.wikidata.org/entity/Q41437216","Ermua","Euskadi"
"http://www.wikidata.org/entity/Q47186270","Granyena de Segarra","Catalunya"
"http://www.wikidata.org/entity/Q5909234","Talavera de la Reina","Castilla-La Mancha"
"http://www.wikidata.org/entity/Q6746629","Cocentaina","Comunitat Valenciana"
"http://www.wikidata.org/entity/Q1849031","Madrid","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q7068646","Vitoria-Gasteiz","Euskadi"
"http://www.wikidata.org/entity/Q8347677","A Coruña","Galicia / Galiza"
"http://www.wikidata.org/entity/Q17595855","Esparreguera","Catalunya"
"http://www.wikidata.org/entity/Q5911568","Becerril de Campos","Castilla y León"
"http://www.wikidata.org/entity/Q20888724","Oñati","Euskadi"
"http://www.wikidata.org/entity/Q205136","Santiago","Galicia / Galiza"
"http://www.wikidata.org/entity/Q5910477","Murcia","Región de Murcia"
"http://www.wikidata.org/entity/Q17596701","Llers","Catalunya"
"http://www.wikidata.org/entity/Q18003831","Montagut i Oix","Catalunya"
"http://www.wikidata.org/entity/Q943873","Sevilla","Andalucía"
"http://www.wikidata.org/entity/Q3572755","Zaragoza","Aragón"
"http://www.wikidata.org/entity/Q7126237","Boadilla del Monte","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q18003832","Olivella","Catalunya"
"http://www.wikidata.org/entity/Q24024872","Almería","Andalucía"
"http://www.wikidata.org/entity/Q26252283","Donostia/San Sebastián","Euskadi"
"http://www.wikidata.org/entity/Q5991883","Laviana","Asturias / Asturies"
"http://www.wikidata.org/entity/Q5640136","Igualada","Catalunya"
"http://www.wikidata.org/entity/Q2117586","la Vall de Boí","Catalunya"
"http://www.wikidata.org/entity/Q5757415","Láchar","Andalucía"
"http://www.wikidata.org/entity/Q461371","Barcelona","Catalunya"
"http://www.wikidata.org/entity/Q5909480","Santa María la Real de Nieva","Castilla y León"
"http://www.wikidata.org/entity/Q2912886","Cerdanyola del Vallès","Catalunya"
"http://www.wikidata.org/entity/Q5795931","Valladolid","Castilla y León"
"http://www.wikidata.org/entity/Q8341703","Alzira","Comunitat Valenciana"
"http://www.wikidata.org/entity/Q9007174","Saus, Camallera i Llampaies","Catalunya"
"http://www.wikidata.org/entity/Q3395342","Catoira","Galicia / Galiza"
"http://www.wikidata.org/entity/Q2561516","Barcelona","Catalunya"
"http://www.wikidata.org/entity/Q9046983","Reus","Catalunya"
"http://www.wikidata.org/entity/Q5910200","Nuevo Baztán","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q206258","Pamplona/Iruña","Navarra - Nafarroa"
"http://www.wikidata.org/entity/Q5991848","Villaviciosa","Asturias / Asturies"
"http://www.wikidata.org/entity/Q9054374","Castelló de la Plana","Comunitat Valenciana"
"http://www.wikidata.org/entity/Q18003864","Sant Llorenç de la Muga","Catalunya"
"http://www.wikidata.org/entity/Q7126249","Jerez de la Frontera","Andalucía"
"http://www.wikidata.org/entity/Q21478895","la Pobla de Lillet","Catalunya"
"http://www.wikidata.org/entity/Q7126247","Madrid","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q541163","Barcelona","Catalunya"
"http://www.wikidata.org/entity/Q5757445","Moguer","Andalucía"
"http://www.wikidata.org/entity/Q507282","Barcelona","Catalunya"
"http://www.wikidata.org/entity/Q19986236","Legorreta","Euskadi"
"http://www.wikidata.org/entity/Q17067235","l'Hospitalet de Llobregat","Catalunya"
"http://www.wikidata.org/entity/Q2223563","Pravia","Asturias / Asturies"
"http://www.wikidata.org/entity/Q6080315","Granada","Andalucía"
"http://www.wikidata.org/entity/Q7126253","Madrid","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q11704654","Palafrugell","Catalunya"
"http://www.wikidata.org/entity/Q5408100","Aguilar de Campoo","Castilla y León"
"http://www.wikidata.org/entity/Q18509076","Zaragoza","Aragón"
"http://www.wikidata.org/entity/Q5911302","Córdoba","Andalucía"
"http://www.wikidata.org/entity/Q599116","Santa Cruz de Tenerife","Canarias"
"http://www.wikidata.org/entity/Q599118","Barcelona","Catalunya"
"http://www.wikidata.org/entity/Q6150467","La Puebla de Montalbán","Castilla-La Mancha"
"http://www.wikidata.org/entity/Q5642536","Cuenca de Campos","Castilla y León"
"http://www.wikidata.org/entity/Q5909464","Juarros de Voltoya","Castilla y León"
"http://www.wikidata.org/entity/Q73160279","Granada","Andalucía"
"http://www.wikidata.org/entity/Q17605136","Castelló d'Empuries","Catalunya"
"http://www.wikidata.org/entity/Q6091441","Almassora","Comunitat Valenciana"
"http://www.wikidata.org/entity/Q3327219","A Capela","Galicia / Galiza"
"http://www.wikidata.org/entity/Q19368317","Torrelles de Foix","Catalunya"
"http://www.wikidata.org/entity/Q917896","Belmonte","Castilla-La Mancha"
"http://www.wikidata.org/entity/Q4276495","Málaga","Andalucía"
"http://www.wikidata.org/entity/Q43122276","Viladecans","Catalunya"
"http://www.wikidata.org/entity/Q18696672","Tossa de Mar","Catalunya"
"http://www.wikidata.org/entity/Q12268627","Irun","Euskadi"
"http://www.wikidata.org/entity/Q18008416","Avinyonet del Penedès","Catalunya"
"http://www.wikidata.org/entity/Q5117086","Villarrobledo","Castilla-La Mancha"
"http://www.wikidata.org/entity/Q6021277","Moraleja de Matacabras","Castilla y León"
"http://www.wikidata.org/entity/Q1506850","Monfero","Galicia / Galiza"
"http://www.wikidata.org/entity/Q22893349","Sant Miquel de Campmajor","Catalunya"
"http://www.wikidata.org/entity/Q5910389","Aranda de Duero","Castilla y León"
"http://www.wikidata.org/entity/Q19368318","Parets del Vallès","Catalunya"
"http://www.wikidata.org/entity/Q6080122","Toro","Castilla y León"
"http://www.wikidata.org/entity/Q5117080","Madrid","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q18008421","la Galera","Catalunya"
"http://www.wikidata.org/entity/Q2223549","Colunga","Asturias / Asturies"
"http://www.wikidata.org/entity/Q5909396","Adanero","Castilla y León"
"http://www.wikidata.org/entity/Q8342325","Foixà","Catalunya"
"http://www.wikidata.org/entity/Q6058204","Villacarriedo","Cantabria"
"http://www.wikidata.org/entity/Q45890103","Sabadell","Catalunya"
"http://www.wikidata.org/entity/Q19368326","Sentmenat","Catalunya"
"http://www.wikidata.org/entity/Q5073070","Algeciras","Andalucía"
"http://www.wikidata.org/entity/Q207870","Barcelona","Catalunya"
"http://www.wikidata.org/entity/Q2509421","Vic","Catalunya"
"http://www.wikidata.org/entity/Q8342564","Santa Cristina d'Aro","Catalunya"
"http://www.wikidata.org/entity/Q3661125","Barcelona","Catalunya"
"http://www.wikidata.org/entity/Q18696663","Lloret de Mar","Catalunya"
"http://www.wikidata.org/entity/Q18008405","Cruïlles","Catalunya"
"http://www.wikidata.org/entity/Q5117075","Madrid","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q5399885","Llívia","Catalunya"
"http://www.wikidata.org/entity/Q744455","León","Castilla y León"
"http://www.wikidata.org/entity/Q2293995","Albacete","Castilla-La Mancha"
"http://www.wikidata.org/entity/Q5117079","Aranjuez","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q5910394","Miranda de Ebro","Castilla y León"
"http://www.wikidata.org/entity/Q18007561","Balaguer","Catalunya"
"http://www.wikidata.org/entity/Q11913006","Barcelona","Catalunya"
"http://www.wikidata.org/entity/Q19595398","Torrelles de Foix","Catalunya"
"http://www.wikidata.org/entity/Q14906527","Caldes de Malavella","Catalunya"
"http://www.wikidata.org/entity/Q18008412","Sant Llorenç de la Muga","Catalunya"
"http://www.wikidata.org/entity/Q7415387","Oviedo","Asturias / Asturies"
"http://www.wikidata.org/entity/Q5756920","Albaida","Comunitat Valenciana"
"http://www.wikidata.org/entity/Q3661119","Barcelona","Catalunya"
"http://www.wikidata.org/entity/Q8342559","Sanlúcar de Barrameda","Andalucía"
"http://www.wikidata.org/entity/Q8342314","Santa Coloma de Farners","Catalunya"
"http://www.wikidata.org/entity/Q22893361","Sant Llorenç Savall","Catalunya"
"http://www.wikidata.org/entity/Q11697343","Castelló de la Plana","Comunitat Valenciana"
"http://www.wikidata.org/entity/Q19368339","Torrelles de Foix","Catalunya"
"http://www.wikidata.org/entity/Q11947221","el Far d'Empordà","Catalunya"
"http://www.wikidata.org/entity/Q18696894","Besalú","Catalunya"
"http://www.wikidata.org/entity/Q11697348","Solsona","Catalunya"
"http://www.wikidata.org/entity/Q19255731","Avinyonet del Penedès","Catalunya"
"http://www.wikidata.org/entity/Q5843321","Lazkao","Euskadi"
"http://www.wikidata.org/entity/Q18008438","Peralada","Catalunya"
"http://www.wikidata.org/entity/Q5912788","Salamanca","Castilla y León"
"http://www.wikidata.org/entity/Q5910126","El Espinar","Castilla y León"
"http://www.wikidata.org/entity/Q18008439","Olèrdola","Catalunya"
"http://www.wikidata.org/entity/Q18195801","Sepúlveda","Castilla y León"
"http://www.wikidata.org/entity/Q6150533","Jerez de la Frontera","Andalucía"
"http://www.wikidata.org/entity/Q3896912","Zamora","Castilla y León"
"http://www.wikidata.org/entity/Q17599310","Bellpuig","Catalunya"
"http://www.wikidata.org/entity/Q17596286","la Granada","Catalunya"
"http://www.wikidata.org/entity/Q9006850","Vila-real","Comunitat Valenciana"
"http://www.wikidata.org/entity/Q8342309","l'Espunyola","Catalunya"
"http://www.wikidata.org/entity/Q18008442","Llobera","Catalunya"
"http://www.wikidata.org/entity/Q8342307","Espolla","Catalunya"
"http://www.wikidata.org/entity/Q18327586","A Coruña","Galicia / Galiza"
"http://www.wikidata.org/entity/Q1130947","Villaviciosa","Asturias / Asturies"
"http://www.wikidata.org/entity/Q3848635","San Lorenzo de El Escorial","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q8342304","Esponellà","Catalunya"
"http://www.wikidata.org/entity/Q389210","Pamplona/Iruña","Navarra - Nafarroa"
"http://www.wikidata.org/entity/Q2942496","Astorga","Castilla y León"
"http://www.wikidata.org/entity/Q8261331","Badalona","Catalunya"
"http://www.wikidata.org/entity/Q5117097","Madrid","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q10859187","Tortosa","Catalunya"
"http://www.wikidata.org/entity/Q1800280","Olmeda de Cobeta","Castilla-La Mancha"
"http://www.wikidata.org/entity/Q16641771","Sant Pere de Ribes","Catalunya"
"http://www.wikidata.org/entity/Q24082916","Villalón de Campos","Castilla y León"
"http://www.wikidata.org/entity/Q22893347","Sant Ferriol","Catalunya"
"http://www.wikidata.org/entity/Q18008431","Berga","Catalunya"
"http://www.wikidata.org/entity/Q5117094","Madrid","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q1506827","Tabeirós - Terra de Montes","Galicia / Galiza"
"http://www.wikidata.org/entity/Q7896031","Osuna","Andalucía"
"http://www.wikidata.org/entity/Q16577926","Ciudad Real","Castilla-La Mancha"
"http://www.wikidata.org/entity/Q15712096","Unciti","Navarra - Nafarroa"
"http://www.wikidata.org/entity/Q1679911","Cangas de Onís","Asturias / Asturies"
"http://www.wikidata.org/entity/Q18008458","Olèrdola","Catalunya"
"http://www.wikidata.org/entity/Q6021470","Renedo de la Vega","Castilla y León"
"http://www.wikidata.org/entity/Q5910182","Palencia","Castilla y León"
"http://www.wikidata.org/entity/Q3895888","Granada","Andalucía"
"http://www.wikidata.org/entity/Q5755647","Zaragoza","Aragón"
"http://www.wikidata.org/entity/Q2167317","Azpeitia","Euskadi"
"http://www.wikidata.org/entity/Q18008467","Malgrat de Mar","Catalunya"
"http://www.wikidata.org/entity/Q3896975","Zamora","Castilla y León"
"http://www.wikidata.org/entity/Q43081711","Alcalá de Henares","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q2293331","Barcelona","Catalunya"
"http://www.wikidata.org/entity/Q6021467","Tulebras","Navarra - Nafarroa"
"http://www.wikidata.org/entity/Q55443304","Sabadell","Catalunya"
"http://www.wikidata.org/entity/Q5166200","Madrid","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q43077690","Vic","Catalunya"
"http://www.wikidata.org/entity/Q3361046","Guadalajara","Castilla-La Mancha"
"http://www.wikidata.org/entity/Q815935","Barcelona","Catalunya"
"http://www.wikidata.org/entity/Q29345521","Luesia","Aragón"
"http://www.wikidata.org/entity/Q11913040","Guardiola de Berguedà","Catalunya"
"http://www.wikidata.org/entity/Q18008446","Figaró-Montmany","Catalunya"
"http://www.wikidata.org/entity/Q5911045","Úbeda","Andalucía"
"http://www.wikidata.org/entity/Q3462700","Alcalá de Henares","Comunidad de Madrid"
"http://www.wikidata.org/entity/Q675671","Fitero","Navarra - Nafarroa"
"http://www.wikidata.org/entity/Q2983985","Sevilla","Andalucía"
"http://www.wikidata.org/entity/Q2547508","León","Castilla y León"
"http://www.wikidata.org/entity/Q8342516","Camprodon","Catalunya"
"http://www.wikidata.org/entity/Q11206780","Manresa","Catalunya"
"http://www.wikidata.org/entity/Q12262063","Zumarraga","Euskadi"
"http://www.wikidata.org/entity/Q8341663","Argentona","Catalunya"
"http://www.wikidata.org/entity/Q8342513","Bellprat","Catalunya"
"http://www.wikidata.org/entity/Q9088980","els Prats de Rei","Catalunya"
"http://www.wikidata.org/entity/Q16577905","Moraleja de Matacabras","Castilla y León"
"http://www.wikidata.org/entity/Q2942688","Jerez de la Frontera","Andalucía"
"http://www.wikidata.org/entity/Q18172730","Mondéjar","Castilla-La Mancha"
"http://www.wikidata.org/entity/Q2942449","Soria","Castilla y León"
"http://www.wikidata.org/entity/Q3571157","El Pueyo de Araguás","Aragón"
"http://www.wikidata.org/entity/Q16615233","Trujillo","Extremadura"
"http://www.wikidata.org/entity/Q6405913","Martos","Andalucía"
"http://www.wikidata.org/entity/Q18008482","l'Escala","Catalunya"
"http://www.wikidata.org/entity/Q8342509","Palau-solità i Plegamans","Catalunya"
"http://www.wikidata.org/entity/Q1046529","Sevilla","Andalucía"
"http://www.wikidata.org/entity/Q20107821","Olot","Catalunya"
"http://www.wikidata.org/entity/Q12174512","Palau-sator","Catalunya"
"http://www.wikidata.org/entity/Q3896950","Getaria","Euskadi"
"http://www.wikidata.org/entity/Q5909179","Valderredible","Cantabria"
"http://www.wikidata.org/entity/Q8342506","Santa Margarida i els Monjos","Catalunya"
"http://www.wikidata.org/entity/Q2942680","Guadix","Andalucía"
"http://www.wikidata.org/entity/Q5755420","Granada","Andalucía"
"http://www.wikidata.org/entity/Q1775061","Retiendas","Castilla-La Mancha"
"http://www.wikidata.org/entity/Q8342500","Quart","Catalunya"
"http://www.wikidata.org/entity/Q5652854","Lugo","Galicia / Galiza"
